Cues,Outcomes
#L_#LH_H#_LH#,statement
#H_#HL_H#_LH#,statement
#H_#HL_H#_HH#,statement
#L_#LH_H#_LH#,statement
#L_#LL_H#_HH#,statement
#H_#HL_L#_HL#,statement
#H_#HL_H#_LH#,statement
#L_#LH_H#_LH#,statement
#H_#HL_L#_LL#,question
#H_#HH_L#_HL#,question
#L_#LL_L#_LL#,question
#L_#LH_L#_LL#,statement
#L_#LH_L#_LL#,statement
#L_#LH_L#_LL#,statement
#H_#HL_H#_LH#,statement
#L_L#_HL#,statement
#L_#LH_H#_LH#,question
#H_#HL_L#_HL#,statement
#H_#HH_H#_HH#,question
#H_#HL_H#_LH#,statement
#H_#HH_L#_LL#,statement
#L_#LH_H#_LH#,statement
#L_#LL_L#_LL#,statement
#H_#HL_L#_LL#,statement
#L_#LH_L#_HL#,question
#L_#LL_L#_LL#,statement
#H_#HL_H#_HH#,statement
#L_#LH_L#_LL#,statement
#H_H#_LH#,statement
#L_#LH_L#_LL#,statement
#H_#HH_L#_LL#,question
#H_#HL_H#,statement
#H_#HH_H#_LH#,statement
#L_#LH_L#_HL#,statement
#L_#LH_H#_LH#,question
